Net Income (In Thousands of Dollars $000) (Hawaiian Airlines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2020,4,"-135,360",,,"-21,925",,"-157,285"
2020,TOTAL,"-430,405",0,0,"-46,120",0,"-476,524"
2021,1,"-51,861",,,"-7,153",,"-59,013"
2021,2,"4,113",,,"-5,306",,"-1,192"
2021,3,"31,934",,,"-15,746",,"16,188"
2021,4,"-105,247",,,"14,182",,"-91,065"
2021,TOTAL,"-121,060",0,0,"-14,023",0,"-135,083"
2022,1,"-106,875",,,"-14,065",,"-120,940"
2022,2,"-25,773",,,"-12,642",,"-38,415"
2022,3,"19,172",,,"-21,834",,"-2,661"
2022,4,"-62,394",,,"13,298",,"-49,096"
2022,TOTAL,"-175,870",0,0,"-35,243",0,"-211,113"
2023,1,"-125,150",,,"17,948",,"-107,202"
2023,2,"-4,739",,,"-5,553",,"-10,291"
2023,3,"102,897",,,"-150,004",,"-47,107"
2023,4,"-99,670",,,"1,253",,"-98,418"
2023,TOTAL,"-126,662",0,0,"-136,356",0,"-263,019"
2024,1,"-87,793",,,"-47,600",,"-135,393"
2024,2,"-52,680",,,"-13,468",,"-66,148"
2024,3,"-90,368",,,"-38,124",,"-128,492"
2024,4,"82,520",,,"-112,948",,"-30,428"
2024,TOTAL,"-148,322",0,0,"-212,138",0,"-360,460"
2025,1,"-49,291",,,"-19,478",,"-68,768"
2025,2,"36,236",,,"-25,552",,"10,684"
2025,3,"-13,839",,,"-2,947",,"-16,786"
2025,TOTAL,"-26,894",0,0,"-47,977",0,"-74,870"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
