Operating Revenue (In Thousands of Dollars $000) (Frontier Airlines - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2017,1,"407,740","22,188",,,,"429,929"
2017,2,"487,820","18,759",,,,"506,579"
2017,3,"462,367","24,580",,,,"486,947"
2017,4,"460,877","30,410",,,,"491,286"
2017,TOTAL,"1,818,803","95,937",0,0,0,"1,914,740"
2018,1,"464,436","36,938",,,,"501,374"
2018,2,"525,510","30,506",,,,"556,016"
2018,3,"521,943","22,808",,,,"544,751"
2018,4,"530,601","23,116",,,,"553,717"
2018,TOTAL,"2,042,490","113,367",0,0,0,"2,155,858"
2019,1,"500,739","45,844",,,,"546,583"
2019,2,"593,451","44,213",,,,"637,664"
2019,3,"639,589","28,928",,,,"668,517"
2019,4,"627,774","27,811",,,,"655,586"
2019,TOTAL,"2,361,553","146,796",0,0,0,"2,508,349"
2020,1,"499,978","43,940",,,,"543,918"
2020,2,"194,221",40,,,,"194,261"
2020,3,"243,563","1,535",,,,"245,098"
2020,4,"260,930","5,799",,,,"266,729"
2020,TOTAL,"1,198,692","51,314",0,0,0,"1,250,006"
2021,1,"258,758","12,438",,,,"271,196"
2021,2,"521,786","27,568",,,,"549,354"
2021,3,"595,139","34,965",,,,"630,104"
2021,4,"574,114","35,505",,,,"609,619"
2021,TOTAL,"1,949,796","110,476",0,0,0,"2,060,272"
2022,1,"546,505","58,643",,,,"605,147"
2022,2,"818,748","89,783",,,,"908,531"
2022,3,"832,089","74,374",,,,"906,463"
2022,4,"853,856","52,031",,,,"905,887"
2022,TOTAL,"3,051,198","274,830",0,0,0,"3,326,028"
2023,1,"780,708","67,641",,,,"848,350"
2023,2,"876,762","89,646",,,,"966,408"
2023,3,"817,837","65,109",,,,"882,946"
2023,4,"839,170","52,085",,,,"891,256"
2023,TOTAL,"3,314,477","274,481",0,0,0,"3,588,959"
2024,1,"801,935","63,435",,,,"865,369"
2024,2,"903,913","68,278",,,,"972,191"
2024,3,"890,402","44,483",,,,"934,885"
2024,4,"969,302","33,482",,,,"1,002,784"
2024,TOTAL,"3,565,551","209,678",0,0,0,"3,775,229"
2025,1,"867,800","44,048",,,,"911,848"
2025,2,"874,278","54,514",,,,"928,791"
2025,3,"841,320","44,759",,,,"886,079"
2025,TOTAL,"2,583,398","143,321",0,0,0,"2,726,719"
,,,,,,,
Note: All numbers are for scheduled services.,,,,,,,
